#oID	descriptor	value	sigma
5318599	BURNT	4.6046	15.267
5352837	BURNT	3.5018	12.465
5364231	BURNT	3.4226	11.409
5371102	BURNT	4.4535	12.217
10857465	BURNT	2.6702	7.6214
180	ACID	6.3709	15.274
262	ACID	7.9896	17.643
264	ACID	6.7039	15.598
323	ACID	5.6314	14.689
702	ACID	4.1777	12.269
750	ACID	3.6372	10.764
753	ACID	7.921	18.035
962	ACID	3.9774	10.537
1031	ACID	6.2229	15.791
3102	ACID	7.172	16.651
3314	ACID	5.7169	13.413
5862	ACID	3.8431	11.731
5962	ACID	4.3906	13.063
6274	ACID	3.4354	10.671
6322	ACID	3.4755	12.325
6506	ACID	8.798	15.965
6544	ACID	5.7485	14.986
6561	ACID	7.5989	16.977
6669	ACID	3.8435	14.038
7092	ACID	5.2907	14.688
7137	ACID	3.7555	11.776
7302	ACID	5.1651	12.921
7476	ACID	6.3022	15.867
7559	ACID	7.156	16.628
7657	ACID	8.2039	18.225
7770	ACID	5.9235	14.917
7793	ACID	8.9016	18.883
7797	ACID	5.7147	15.344
8025	ACID	5.1259	14.832
8049	ACID	7.1307	18.882
8094	ACID	7.0861	16.475
8419	ACID	6.2081	16.211
8438	ACID	5.7961	13.812
8468	ACID	4.2302	11.251
8815	ACID	7.7052	17.029
8878	ACID	4.698	13.026
9012	ACID	5.1916	17.113
10886	ACID	4.4927	13.142
11567	ACID	6.258	15.093
12020	ACID	7.0814	15.578
12265	ACID	9.7286	18.744
12377	ACID	7.1698	18.993
15654	ACID	7.4446	16.45
16537	ACID	7.3494	18.264
17898	ACID	5.7169	15.661
18467	ACID	5.3364	14.688
21363	ACID	6.7892	15.958
27440	ACID	7.234	16.506
31219	ACID	4.9222	13.056
31276	ACID	7.5784	17.353
31283	ACID	7.4592	15.943
60998	ACID	5.1822	13.958
61523	ACID	7.2003	16.979
62089	ACID	5.986	14.027
62351	ACID	4.3542	15.22
62465	ACID	5.2524	13.137
251531	ACID	7.3026	15.381
440917	ACID	7.3465	16.234
637758	ACID	3.132	9.149
853433	ACID	4.3336	11.423
1549025	ACID	4.411	12.274
2733294	ACID	4.347	12.307
5281167	ACID	4.2133	12.242
5281168	ACID	4.4769	13.371
5318599	ACID	4.4374	13.059
5352837	ACID	5.3377	14.522
5364231	ACID	3.8326	10.738
5371102	ACID	4.0397	11.184
10857465	ACID	7.1965	17.146
180	WARM	5.0379	13.887
262	WARM	4.8861	15.627
264	WARM	5.4291	15.108
323	WARM	8.3442	19.629
702	WARM	5.1949	13.445
750	WARM	5.7445	13.396
753	WARM	5.686	14.903
962	WARM	4.3305	11.744
1031	WARM	4.916	13.644
3102	WARM	5.3688	16.202
3314	WARM	8.6908	19.316
5862	WARM	7.8759	18.388
5962	WARM	5.2381	14.53
6274	WARM	5.9358	13.033
6322	WARM	5.9829	14.929
6506	WARM	6.5136	19.974
6544	WARM	5.9689	16.363
6561	WARM	5.0714	14.289
6669	WARM	5.3874	19.967
7092	WARM	8.4659	19.834
7137	WARM	6.9894	17.803
7302	WARM	6.9747	17.777
7476	WARM	6.842	17.828
7559	WARM	5.9791	17.888
7657	WARM	4.7869	15.146
7770	WARM	4.1495	12.638
7793	WARM	5.7447	15.841
7797	WARM	4.8996	13.902
8025	WARM	5.5388	15.128
8049	WARM	7.3326	19.268
8094	WARM	6.138	16.4
8419	WARM	9.0483	19.905
8438	WARM	8.2632	18.96
8468	WARM	9.6473	19.903
8815	WARM	6.1915	16.527
8878	WARM	5.1413	13.264
9012	WARM	5.6357	18.614
10886	WARM	4.7199	12.709
11567	WARM	6.2337	16.95
12020	WARM	5.6018	15.477
12265	WARM	4.1971	13.297
12377	WARM	5.0863	16.73
15654	WARM	6.9088	17.88
16537	WARM	7.2495	18.731
17898	WARM	6.1339	15.789
18467	WARM	5.5269	14.013
21363	WARM	7.2902	18.666
27440	WARM	5.2138	15.365
31219	WARM	5.1454	14.84
31276	WARM	5.0633	15.618
31283	WARM	5.2673	15.449
60998	WARM	4.8616	15.452
61523	WARM	6.3793	17.183
62089	WARM	6.7913	17.477
62351	WARM	8.1119	19.698
62465	WARM	8.2922	19.374
251531	WARM	6.8152	17.808
440917	WARM	5.8635	15.477
637758	WARM	5.3207	14.885
853433	WARM	8.2271	18.948
1549025	WARM	6.8285	17.838
2733294	WARM	5.1041	14.363
5281167	WARM	4.7462	13.503
5281168	WARM	5.0447	13.86
5318599	WARM	4.8509	13.073
5352837	WARM	5.2393	14.284
5364231	WARM	6.0772	17.267
5371102	WARM	7.4662	17.97
10857465	WARM	6.9758	19.895
180	MUSKY	8.7519	20.147
262	MUSKY	5.0178	15.912
264	MUSKY	13.077	23.881
323	MUSKY	5.4466	17.136
702	MUSKY	8.3485	18.991
750	MUSKY	9.2308	20.842
753	MUSKY	6.5568	19.556
962	MUSKY	3.4114	10.394
1031	MUSKY	10.354	21.724
3102	MUSKY	5.9032	17.991
3314	MUSKY	7.9983	18.364
5862	MUSKY	11.619	23.375
5962	MUSKY	11.453	23.099
6274	MUSKY	12.701	24.431
6322	MUSKY	6.5021	17.112
6506	MUSKY	12.293	23.714
6544	MUSKY	5.9044	15.574
6561	MUSKY	11.123	22.049
6669	MUSKY	23.865	8.4855
7092	MUSKY	5.8416	17.154
7137	MUSKY	5.5077	13.292
7302	MUSKY	8.4975	20.48
7476	MUSKY	4.2152	12.858
7559	MUSKY	8.3426	18.619
7657	MUSKY	8.2788	20.307
7770	MUSKY	5.8143	13.994
7793	MUSKY	5.0774	14.026
7797	MUSKY	4.7045	13.243
8025	MUSKY	9.1345	18.581
8049	MUSKY	9.1851	22.416
8094	MUSKY	11.366	22.535
8419	MUSKY	5.3807	13.201
8438	MUSKY	5.3865	15.337
8468	MUSKY	9.3345	18.416
8815	MUSKY	4.6532	12.853
8878	MUSKY	6.2046	16.438
9012	MUSKY	14.81	23.291
10886	MUSKY	5.3069	14.471
11567	MUSKY	7.4449	17.817
12020	MUSKY	8.5811	19.814
12265	MUSKY	11.219	23.428
12377	MUSKY	9.3702	22.201
15654	MUSKY	13.451	25.186
16537	MUSKY	3.279	10.199
17898	MUSKY	9.6845	20.936
18467	MUSKY	8.9798	19.672
21363	MUSKY	11.629	22.436
27440	MUSKY	12.726	25.049
31219	MUSKY	5.3546	13.45
31276	MUSKY	6.3264	14.255
31283	MUSKY	13.57	23.908
60998	MUSKY	10.804	21.114
61523	MUSKY	6.6692	18.387
62089	MUSKY	12.22	22.177
62351	MUSKY	19.215	23.781
62465	MUSKY	9.111	18.836
251531	MUSKY	8.8676	21.058
440917	MUSKY	4.7804	12.64
637758	MUSKY	5.6247	14.878
853433	MUSKY	7.1913	16.298
1549025	MUSKY	7.7319	17.473
2733294	MUSKY	7.4019	15.877
5281167	MUSKY	9.928	20.051
5281168	MUSKY	14.729	24.351
5318599	MUSKY	11.02	22.276
5352837	MUSKY	7.2227	16.915
5364231	MUSKY	6.088	14.84
5371102	MUSKY	9.4257	19.939
10857465	MUSKY	4.4897	13.927
180	SWEATY	4.7362	15.9
262	SWEATY	2.4311	8.7208
264	SWEATY	9.4016	19.033
323	SWEATY	1.587	5.822
702	SWEATY	5.4617	18.244
750	SWEATY	6.0816	16.085
753	SWEATY	3.9488	13.965
962	SWEATY	3.9036	18.847
1031	SWEATY	6.8464	18.492
3102	SWEATY	1.8426	7.0044
3314	SWEATY	2.2867	6.9145
5862	SWEATY	6.7636	15.456
5962	SWEATY	7.879	17.891
6274	SWEATY	5.9926	16.317
6322	SWEATY	4.2074	11.543
6506	SWEATY	8.3905	21.776
6544	SWEATY	2.3195	6.7346
6561	SWEATY	5.9192	15.554
6669	SWEATY	13.106	23.325
7092	SWEATY	2.0277	6.6639
7137	SWEATY	1.9865	6.2473
7302	SWEATY	4.5746	13.033
7476	SWEATY	1.572	5.8983
7559	SWEATY	4.4269	12.858
7657	SWEATY	3.6081	12.642
7770	SWEATY	3.1679	9.1331
7793	SWEATY	2.2662	7.6727
7797	SWEATY	2.4177	8.2274
8025	SWEATY	5.5473	14.233
8049	SWEATY	5.7663	19.524
8094	SWEATY	7.3852	17.948
8419	SWEATY	1.5666	5.5878
8438	SWEATY	1.6924	5.6387
8468	SWEATY	3.4835	10.529
8815	SWEATY	1.5059	5.5199
8878	SWEATY	2.578	7.8711
9012	SWEATY	8.6095	23.39
10886	SWEATY	2.5083	9.2134
11567	SWEATY	4.1048	11.282
12020	SWEATY	3.9119	11.241
12265	SWEATY	5.2437	16.69
12377	SWEATY	4.0011	16.482
15654	SWEATY	4.2639	16.036
16537	SWEATY	0.8714	5.955
17898	SWEATY	3.3695	12.349
18467	SWEATY	3.2333	11.51
21363	SWEATY	7.9051	18.426
27440	SWEATY	4.8242	17.601
31219	SWEATY	2.7846	7.814
31276	SWEATY	3.6119	9.6931
31283	SWEATY	10.726	21.693
60998	SWEATY	5.9624	15.826
61523	SWEATY	2.9938	11.435
62089	SWEATY	7.6283	17.464
62351	SWEATY	13.732	21.838
62465	SWEATY	3.5007	10.643
251531	SWEATY	3.1612	9.8871
440917	SWEATY	2.155	6.3899
637758	SWEATY	2.3731	8.6569
853433	SWEATY	2.9159	9.852
1549025	SWEATY	4.3901	13.395
2733294	SWEATY	4.7548	13.305
5281167	SWEATY	6.9675	17.839
5281168	SWEATY	10.53	20.66
5318599	SWEATY	6.8516	18.639
5352837	SWEATY	4.3823	13.834
5364231	SWEATY	3.9902	11.879
5371102	SWEATY	4.9926	14.229
10857465	SWEATY	2.0699	6.5981
180	AMMONIA/URINOUS	4.3017	14.221
262	AMMONIA/URINOUS	6.034	17.806
264	AMMONIA/URINOUS	6.52	17.656
323	AMMONIA/URINOUS	5.0589	12.689
702	AMMONIA/URINOUS	3.8461	13.132
750	AMMONIA/URINOUS	2.6343	9.7058
753	AMMONIA/URINOUS	5.4126	17.493
962	AMMONIA/URINOUS	1.5462	4.2167
1031	AMMONIA/URINOUS	6.9162	18.934
3102	AMMONIA/URINOUS	6.7643	18.576
3314	AMMONIA/URINOUS	4.1149	12.953
5862	AMMONIA/URINOUS	4.0655	14.196
5962	AMMONIA/URINOUS	5.3865	14.9
6274	AMMONIA/URINOUS	3.1125	11.524
6322	AMMONIA/URINOUS	2.3545	9.0054
6506	AMMONIA/URINOUS	7.4752	18.805
6544	AMMONIA/URINOUS	4.6855	15.388
6561	AMMONIA/URINOUS	4.8586	15.343
6669	AMMONIA/URINOUS	3.6901	4.7688
7092	AMMONIA/URINOUS	4.762	12.146
7137	AMMONIA/URINOUS	2.2144	8.1441
7302	AMMONIA/URINOUS	4.6336	12.776
7476	AMMONIA/URINOUS	4.2489	13.343
7559	AMMONIA/URINOUS	8.3319	19.364
7657	AMMONIA/URINOUS	8.1629	21.166
7770	AMMONIA/URINOUS	3.9734	12.286
7793	AMMONIA/URINOUS	4.842	15.402
7797	AMMONIA/URINOUS	3.2846	10.863
8025	AMMONIA/URINOUS	4.6681	13.157
8049	AMMONIA/URINOUS	5.503	15.853
8094	AMMONIA/URINOUS	6.7929	17.529
8419	AMMONIA/URINOUS	2.3686	8.8137
8438	AMMONIA/URINOUS	3.0967	9.0512
8468	AMMONIA/URINOUS	2.6604	8.4637
8815	AMMONIA/URINOUS	4.5746	13.492
8878	AMMONIA/URINOUS	2.7051	10.031
9012	AMMONIA/URINOUS	9.4284	24.231
10886	AMMONIA/URINOUS	2.3724	8.8511
11567	AMMONIA/URINOUS	6.9604	17.911
12020	AMMONIA/URINOUS	6.0318	17.103
12265	AMMONIA/URINOUS	8.7428	21.959
12377	AMMONIA/URINOUS	6.6403	18.285
15654	AMMONIA/URINOUS	7.5846	19.638
16537	AMMONIA/URINOUS	3.8201	10.876
17898	AMMONIA/URINOUS	3.8272	13.202
18467	AMMONIA/URINOUS	3.0658	10.35
21363	AMMONIA/URINOUS	8.037	18.83
27440	AMMONIA/URINOUS	6.6662	18.194
31219	AMMONIA/URINOUS	4.4186	13.1
31276	AMMONIA/URINOUS	5.2615	14.403
31283	AMMONIA/URINOUS	6.9681	17.462
60998	AMMONIA/URINOUS	6.8704	17.336
61523	AMMONIA/URINOUS	6.8679	17.851
62089	AMMONIA/URINOUS	5.0846	14.531
62351	AMMONIA/URINOUS	9.9186	23.116
62465	AMMONIA/URINOUS	4.2536	13.464
251531	AMMONIA/URINOUS	5.8325	15.71
440917	AMMONIA/URINOUS	5.3983	15.205
637758	AMMONIA/URINOUS	2.903	9.367
853433	AMMONIA/URINOUS	3.5717	11.808
1549025	AMMONIA/URINOUS	2.7019	11.389
2733294	AMMONIA/URINOUS	3.3402	10.799
5281167	AMMONIA/URINOUS	6.4127	17.073
5281168	AMMONIA/URINOUS	6.4805	16.514
5318599	AMMONIA/URINOUS	6.6537	18.369
5352837	AMMONIA/URINOUS	5.9347	16.325
5364231	AMMONIA/URINOUS	2.7434	8.9628
5371102	AMMONIA/URINOUS	3.1247	10.087
10857465	AMMONIA/URINOUS	6.4482	13.076
180	DECAYED	3.6518	11.344
262	DECAYED	2.4295	9.4916
264	DECAYED	7.3201	17.802
323	DECAYED	2.4002	8.6153
702	DECAYED	3.1029	10.026
750	DECAYED	4.7417	12.253
753	DECAYED	5.3008	15.431
962	DECAYED	2.2856	7.4979
1031	DECAYED	5.4605	14.447
3102	DECAYED	2.1922	7.612
3314	DECAYED	3.1859	11.674
5862	DECAYED	12.432	21.375
5962	DECAYED	6.1075	13.881
6274	DECAYED	5.0286	12.445
6322	DECAYED	2.9841	7.9131
6506	DECAYED	6.4665	11.294
6544	DECAYED	2.3155	8.8162
6561	DECAYED	3.8964	13.164
6669	DECAYED	8.8446	13.789
7092	DECAYED	2.618	9.2178
7137	DECAYED	2.4453	9.363
7302	DECAYED	3.8798	12.824
7476	DECAYED	2.3197	9.0092
7559	DECAYED	5.4476	16.412
7657	DECAYED	3.1528	13.686
7770	DECAYED	4.3573	13.049
7793	DECAYED	2.7061	11.238
7797	DECAYED	3.0001	10.781
8025	DECAYED	4.6009	14.756
8049	DECAYED	3.7133	10.843
8094	DECAYED	7.4086	18.121
8419	DECAYED	2.2203	9.1296
8438	DECAYED	2.1928	8.5058
8468	DECAYED	3.7764	10.754
8815	DECAYED	2.4937	10.88
8878	DECAYED	3.1876	10.507
9012	DECAYED	12.906	24.735
10886	DECAYED	2.7846	9.5603
11567	DECAYED	4.5148	13.82
12020	DECAYED	4.3977	13.259
12265	DECAYED	4.7022	13.309
12377	DECAYED	15.225	26.991
15654	DECAYED	11.327	22.18
16537	DECAYED	2.2637	8.294
17898	DECAYED	4.0124	13.718
18467	DECAYED	3.5986	13.308
21363	DECAYED	7.8989	19.721
27440	DECAYED	11.201	22.547
31219	DECAYED	3.7957	11.971
31276	DECAYED	5.0494	15.571
31283	DECAYED	7.2233	18.433
60998	DECAYED	4.9202	15.126
61523	DECAYED	3.1114	12.545
62089	DECAYED	7.3723	18.265
62351	DECAYED	18.604	30.483
62465	DECAYED	3.8019	12.759
251531	DECAYED	2.7355	10.961
440917	DECAYED	2.8144	10.858
637758	DECAYED	2.3013	8.7397
853433	DECAYED	3.1982	11.002
1549025	DECAYED	3.5683	10.478
2733294	DECAYED	5.308	14.807
5281167	DECAYED	7.1892	17.566
5281168	DECAYED	7.3602	19.338
5318599	DECAYED	6.6514	17.349
5352837	DECAYED	5.5426	15.615
5364231	DECAYED	3.8293	11.858
5371102	DECAYED	4.0076	10.834
10857465	DECAYED	2.2347	10.383
180	WOOD	2.8273	10.551
262	WOOD	1.1673	5.2529
264	WOOD	2.1356	7.8558
323	WOOD	1.8246	7.117
702	WOOD	2.2063	8.7352
750	WOOD	3.932	12.846
753	WOOD	1.6992	6.9715
962	WOOD	3.2799	13.325
1031	WOOD	1.9593	7.88
3102	WOOD	2.5571	9.5704
3314	WOOD	4.9997	15.572
5862	WOOD	4.0267	12.732
5962	WOOD	4.981	15.309
6274	WOOD	7.9474	18.81
6322	WOOD	6.8798	17.382
6506	WOOD	3.2395	11.157
6544	WOOD	3.0629	11.618
6561	WOOD	2.981	10.782
6669	WOOD	13.989	26.145
7092	WOOD	2.2796	8.3527
7137	WOOD	2.6724	9.7442
7302	WOOD	2.492	10.277
7476	WOOD	2.6199	10.256
7559	WOOD	2.2445	9.1364
7657	WOOD	2.6091	10.274
7770	WOOD	1.5444	6.2344
7793	WOOD	2.8606	10.861
7797	WOOD	2.2125	8.4472
8025	WOOD	1.8781	7.759
8049	WOOD	3.8665	12.44
8094	WOOD	2.8145	10.213
8419	WOOD	4.179	13.531
8438	WOOD	1.973	8.0525
8468	WOOD	5.5281	15.65
8815	WOOD	2.8379	11.187
8878	WOOD	2.4058	9.1125
9012	WOOD	3.24	13.356
10886	WOOD	3.0216	10.535
11567	WOOD	2.6725	11.088
12020	WOOD	2.4615	9.4849
12265	WOOD	4.3261	14.095
12377	WOOD	2.7398	10.518
15654	WOOD	5.0748	16.011
16537	WOOD	2.6237	9.6503
17898	WOOD	6.6162	16.789
18467	WOOD	4.8043	14.24
21363	WOOD	4.0292	13.523
27440	WOOD	4.0842	13.824
31219	WOOD	1.4624	6.5703
31276	WOOD	2.0059	7.5323
31283	WOOD	4.1342	14.425
60998	WOOD	2.573	9.536
61523	WOOD	2.9286	12.005
62089	WOOD	4.3645	14.394
62351	WOOD	2.4507	9.0387
62465	WOOD	5.5557	16.238
251531	WOOD	2.5648	9.5427
440917	WOOD	4.2858	15.555
637758	WOOD	2.3432	9.4711
853433	WOOD	5.1104	15.878
1549025	WOOD	4.4173	13.778
2733294	WOOD	2.315	8.7818
5281167	WOOD	2.6677	10.491
5281168	WOOD	3.2671	12.763
5318599	WOOD	3.2826	12.472
5352837	WOOD	2.728	10.816
5364231	WOOD	1.9545	7.209
5371102	WOOD	3.6391	11.715
10857465	WOOD	3.4579	12.961
180	GRASS	1.8281	6.6969
262	GRASS	2.1194	9.2469
264	GRASS	1.928	6.3764
323	GRASS	1.871	6.7323
702	GRASS	2.7074	11.144
750	GRASS	1.7657	6.4962
753	GRASS	1.8608	7.1678
962	GRASS	2.7101	15.746
1031	GRASS	2.6276	9.8868
3102	GRASS	1.8776	8.6517
3314	GRASS	3.4979	14.584
5862	GRASS	1.8251	6.7923
5962	GRASS	2.1623	8.8509
6274	GRASS	7.4038	15.945
6322	GRASS	2.6735	11.396
6506	GRASS	2.1716	6.5091
6544	GRASS	4.1869	15.518
6561	GRASS	1.8881	6.8221
6669	GRASS	2.3659	10.008
7092	GRASS	1.8201	6.5966
7137	GRASS	2.8511	12.7
7302	GRASS	1.7786	6.9639
7476	GRASS	2.0121	10.304
7559	GRASS	2.0904	9.4799
7657	GRASS	2.185	8.8429
7770	GRASS	2.233	9.4608
7793	GRASS	5.7801	19.819
7797	GRASS	2.2293	10.381
8025	GRASS	2.1923	8.1761
8049	GRASS	1.895	7.3796
8094	GRASS	1.7834	6.4813
8419	GRASS	2.5397	11.361
8438	GRASS	1.7711	6.5301
8468	GRASS	1.8568	7.7142
8815	GRASS	3.0612	13.783
8878	GRASS	3.1573	13.134
9012	GRASS	1.8058	6.933
10886	GRASS	3.0896	12.547
11567	GRASS	1.9885	8.2124
12020	GRASS	3.4572	12.297
12265	GRASS	3.2221	11.885
12377	GRASS	1.7715	8.5171
15654	GRASS	3.5241	12.987
16537	GRASS	4.0381	15.773
17898	GRASS	4.9639	14.041
18467	GRASS	4.0427	11.958
21363	GRASS	2.1561	7.6861
27440	GRASS	3.0727	11.286
31219	GRASS	2.1176	8.3319
31276	GRASS	2.6279	9.1087
31283	GRASS	2.0422	6.7997
60998	GRASS	3.7922	12.74
61523	GRASS	2.5184	11.459
62089	GRASS	3.0939	9.8504
62351	GRASS	2.6639	11.311
62465	GRASS	3.6927	12.681
251531	GRASS	4.0939	12.752
440917	GRASS	5.8094	19.051
637758	GRASS	3.4746	12.895
853433	GRASS	3.6167	13.04
1549025	GRASS	7.0092	18.035
2733294	GRASS	3.6471	10.973
5281167	GRASS	9.9069	19.945
5281168	GRASS	6.1226	14.554
5318599	GRASS	8.1981	19.614
5352837	GRASS	7.9291	18.946
5364231	GRASS	7.819	17.03
5371102	GRASS	4.2509	11.27
10857465	GRASS	6.1682	15.115
180	FLOWER	2.6687	9.578
262	FLOWER	6.9935	14.75
264	FLOWER	2.3221	9.0369
323	FLOWER	11.378	19.229
702	FLOWER	3.0321	11.221
750	FLOWER	2.8789	10.835
753	FLOWER	4.1495	10.581
962	FLOWER	6.6294	22.955
1031	FLOWER	2.4893	10.309
3102	FLOWER	17.125	27.304
3314	FLOWER	3.4701	12.333
5862	FLOWER	2.3199	8.5608
5962	FLOWER	5.5877	16.256
6274	FLOWER	2.4832	11.221
6322	FLOWER	11.834	27.396
6506	FLOWER	2.8412	11.546
6544	FLOWER	7.8082	17.308
6561	FLOWER	2.0461	8.4669
6669	FLOWER	1.9903	9.4398
7092	FLOWER	10.229	18.435
7137	FLOWER	9.1766	21.63
7302	FLOWER	3.3431	12.027
7476	FLOWER	11.068	23.28
7559	FLOWER	8.1915	19.784
7657	FLOWER	11.146	25.024
7770	FLOWER	6.8954	17.5
7793	FLOWER	8.4289	17.138
7797	FLOWER	9.2579	20.15
8025	FLOWER	4.2861	14.911
8049	FLOWER	4.7756	13.371
8094	FLOWER	3.3665	11.527
8419	FLOWER	8.2018	20.11
8438	FLOWER	7.3405	16.959
8468	FLOWER	2.3919	11.676
8815	FLOWER	7.5488	19.209
8878	FLOWER	6.3976	15.188
9012	FLOWER	7.5222	13.398
10886	FLOWER	6.2506	16.27
11567	FLOWER	5.5969	15.544
12020	FLOWER	2.7409	10.204
12265	FLOWER	2.0897	10.022
12377	FLOWER	2.4815	8.3343
15654	FLOWER	2.5828	5.9772
16537	FLOWER	12.685	29.02
17898	FLOWER	2.3797	11.457
18467	FLOWER	2.3136	11.472
21363	FLOWER	3.0478	11.347
27440	FLOWER	2.4983	6.151
31219	FLOWER	11.06	24.684
31276	FLOWER	6.1668	17.3
31283	FLOWER	2.4421	11.239
60998	FLOWER	6.5828	18.799
61523	FLOWER	9.4654	20.081
62089	FLOWER	3.6626	11.672
62351	FLOWER	2.2552	8.18
62465	FLOWER	3.4223	13.02
251531	FLOWER	11.166	23.652
440917	FLOWER	3.9424	14.46
637758	FLOWER	11.368	24.518
853433	FLOWER	3.6418	14.165
1549025	FLOWER	7.2662	17.795
2733294	FLOWER	5.0114	15.883
5281167	FLOWER	2.8003	11.841
5281168	FLOWER	2.0541	9.7145
5318599	FLOWER	2.5749	10.831
5352837	FLOWER	6.1107	16.499
5364231	FLOWER	8.7353	18.243
5371102	FLOWER	6.2265	18.061
10857465	FLOWER	18.288	25.719
180	CHEMICAL	12.814	22.322
262	CHEMICAL	21.283	29.421
264	CHEMICAL	16.578	25.895
323	CHEMICAL	16.172	24.419
702	CHEMICAL	9.3751	19.752
750	CHEMICAL	10.469	19.336
753	CHEMICAL	14.117	26.202
962	CHEMICAL	9.5993	19.466
1031	CHEMICAL	14.578	24.812
3102	CHEMICAL	30.311	33.998
3314	CHEMICAL	13.45	22.73
5862	CHEMICAL	12.883	19.269
5962	CHEMICAL	9.1591	19.691
6274	CHEMICAL	9.6149	19.518
6322	CHEMICAL	15.262	20.054
6506	CHEMICAL	10.962	20.282
6544	CHEMICAL	23.586	29.678
6561	CHEMICAL	17.798	27.514
6669	CHEMICAL	14.717	25.687
7092	CHEMICAL	14.04	23.719
7137	CHEMICAL	9.1828	19.346
7302	CHEMICAL	10.838	20.488
7476	CHEMICAL	19.181	26.991
7559	CHEMICAL	19.22	25.68
7657	CHEMICAL	19.996	29.993
7770	CHEMICAL	17.851	26.619
7793	CHEMICAL	24.576	31.129
7797	CHEMICAL	15.499	24.999
8025	CHEMICAL	11.064	22.505
8049	CHEMICAL	15.16	25.275
8094	CHEMICAL	17.728	27.111
8419	CHEMICAL	14.04	24.602
8438	CHEMICAL	16.429	25.595
8468	CHEMICAL	10.305	20.454
8815	CHEMICAL	20.399	28.244
8878	CHEMICAL	10.936	21.747
9012	CHEMICAL	9.7044	23.292
10886	CHEMICAL	12.056	22.052
11567	CHEMICAL	21.562	27.056
12020	CHEMICAL	17.021	25.886
12265	CHEMICAL	27.571	32.177
12377	CHEMICAL	11.792	25.372
15654	CHEMICAL	12.109	22.914
16537	CHEMICAL	22.61	29.953
17898	CHEMICAL	11.985	22.974
18467	CHEMICAL	11.439	22.227
21363	CHEMICAL	20.064	27.733
27440	CHEMICAL	13.389	24.093
31219	CHEMICAL	14.986	24.869
31276	CHEMICAL	18.314	27.618
31283	CHEMICAL	18.669	27.756
60998	CHEMICAL	13.224	22.746
61523	CHEMICAL	20.536	28.564
62089	CHEMICAL	14.421	24.337
62351	CHEMICAL	15.606	19.411
62465	CHEMICAL	14.541	23.407
251531	CHEMICAL	16.162	28.133
440917	CHEMICAL	22.443	28.761
637758	CHEMICAL	9.8663	20.588
853433	CHEMICAL	11.68	21.439
1549025	CHEMICAL	9.4311	20.675
2733294	CHEMICAL	10.344	21.834
5281167	CHEMICAL	12.982	24.104
5281168	CHEMICAL	11.167	23.227
5318599	CHEMICAL	11.928	23.563
5352837	CHEMICAL	16.086	27.561
5364231	CHEMICAL	9.3945	20.434
5371102	CHEMICAL	10.823	22.918
10857465	CHEMICAL	23.764	30.977
